unique_carrier_entity,start_date_source,thru_date_source
1006,1/1/13,
1126,8/1/06,
1130,1/1/16,
1131,1/1/10,
1150,7/1/09,
1158,4/1/15,
1177,1/1/14,
1189,7/1/16,
1194,7/1/15,
1260,1/1/60,
6003,10/1/09,
6031,1/1/60,
6035,1/1/16,
6055,9/1/00,
6081,10/1/16,
6085,1/1/13,
6200,8/1/96,
6299,10/1/02,
6460,1/1/07,
6580,9/1/84,
6673,1/1/05,
6689,1/1/10,
6690,1/1/06,
6700,1/1/06,
6725,1/1/79,
6774,1/1/12,
6795,1/1/05,
6820,4/1/14,
6830,1/1/13,
6841,1/1/08,
6904,1/1/08,
6910,10/1/88,
6912,1/1/11,
6932,8/1/06,
6975,4/1/06,
7024,8/1/13,
7041,1/1/08,
10877,3/1/83,
11033,4/1/12,
16736,10/1/16,
0A050,1/1/60,
0A875,1/1/60,
